iter	Passed	Remaining
0	141	141669
1	143	71613
2	144	47930
3	144	36048
4	145	28921
5	145	24150
6	146	20755
7	146	18198
8	147	16207
9	148	14684
10	149	13467
11	151	12462
12	152	11605
13	154	10897
14	156	10255
15	157	9699
16	159	9208
17	160	8777
18	162	8387
19	164	8038
20	165	7712
21	167	7425
22	168	7155
23	169	6912
24	171	6683
25	172	6462
26	173	6257
27	174	6074
28	176	5893
29	177	5724
30	177	5562
31	178	5411
32	179	5264
33	180	5127
34	181	4999
35	182	4876
36	183	4769
37	184	4662
38	185	4559
39	185	4460
40	186	4360
41	187	4265
42	187	4174
43	188	4086
44	188	4002
45	189	3921
46	189	3843
47	190	3771
48	190	3700
49	191	3632
50	191	3566
51	192	3503
52	192	3442
53	193	3383
54	193	3327
55	194	3272
56	194	3219
57	195	3168
58	195	3119
59	196	3071
60	196	3024
61	196	2979
62	197	2935
63	197	2893
64	198	2854
65	199	2817
66	199	2780
67	200	2743
68	200	2708
69	201	2673
70	201	2638
71	202	2605
72	202	2572
73	203	2540
74	203	2509
75	203	2479
76	204	2449
77	204	2420
78	205	2391
79	205	2364
80	206	2337
81	206	2311
82	206	2283
83	207	2258
84	207	2234
85	207	2210
86	208	2187
87	208	2164
88	209	2142
89	209	2120
90	210	2099
91	210	2078
92	211	2058
93	211	2038
94	211	2018
95	212	1999
96	212	1980
97	213	1962
98	213	1945
99	214	1928
100	214	1910
101	215	1894
102	215	1878
103	216	1863
104	216	1847
105	217	1831
106	217	1816
107	218	1800
108	218	1785
109	218	1770
110	219	1756
111	219	1742
112	220	1728
113	220	1714
114	220	1700
115	221	1687
116	221	1673
117	222	1660
118	222	1647
119	223	1635
120	223	1623
121	223	1610
122	224	1598
123	224	1587
124	225	1575
125	225	1564
126	225	1553
127	226	1542
128	226	1531
129	227	1521
130	227	1510
131	228	1500
132	228	1490
133	229	1481
134	229	1471
135	230	1461
136	230	1452
137	230	1442
138	231	1433
139	231	1424
140	232	1415
141	232	1405
142	233	1396
143	233	1387
144	233	1379
145	234	1370
146	234	1362
147	235	1353
148	235	1345
149	236	1337
150	236	1330
151	237	1322
152	237	1314
153	237	1306
154	238	1298
155	238	1291
156	239	1284
157	239	1276
158	239	1269
159	240	1262
160	240	1254
161	241	1247
162	241	1240
163	241	1233
164	242	1226
165	242	1220
166	243	1214
167	243	1207
168	244	1201
169	244	1195
170	245	1189
171	245	1182
172	246	1176
173	246	1171
174	247	1165
175	247	1159
176	248	1153
177	248	1147
178	248	1141
179	249	1135
180	249	1130
181	250	1124
182	250	1118
183	251	1113
184	251	1107
185	251	1102
186	252	1096
187	252	1091
188	253	1086
189	253	1081
190	254	1076
191	254	1070
192	254	1065
193	255	1060
194	255	1055
195	256	1050
196	256	1045
197	257	1041
198	257	1036
199	257	1031
200	258	1026
201	258	1022
202	259	1017
203	259	1013
204	260	1009
205	260	1004
206	261	1000
207	261	995
208	261	991
209	262	986
210	262	982
211	263	978
212	263	974
213	264	969
214	264	965
215	264	961
216	265	957
217	265	953
218	266	949
219	266	945
220	267	941
221	267	937
222	267	933
223	268	929
224	268	925
225	269	921
226	269	917
227	269	913
228	270	910
229	270	906
230	271	903
231	271	899
232	272	895
233	272	892
234	272	888
235	273	885
236	273	881
237	274	878
238	274	875
239	275	871
240	275	868
241	276	865
242	276	861
243	277	858
244	277	855
245	277	851
246	278	848
247	278	845
248	279	842
249	279	838
250	280	835
251	280	832
252	280	829
253	281	826
254	281	823
255	282	820
256	282	816
257	283	813
258	283	810
259	283	807
260	284	805
261	284	802
262	285	799
263	285	796
264	286	793
265	286	790
266	286	787
267	287	784
268	287	781
269	288	779
270	288	776
271	289	773
272	289	771
273	290	768
274	290	765
275	290	763
276	291	760
277	291	757
278	292	755
279	292	752
280	293	749
281	293	747
282	293	744
283	294	742
284	294	739
285	295	737
286	295	734
287	296	731
288	296	729
289	296	727
290	297	724
291	297	722
292	298	719
293	298	717
294	299	714
295	299	712
296	300	710
297	300	707
298	300	705
299	301	703
300	301	700
301	302	698
302	302	696
303	303	694
304	303	691
305	304	689
306	304	687
307	305	685
308	305	683
309	305	680
310	306	678
311	306	676
312	307	674
313	307	672
314	308	669
315	308	667
316	308	665
317	309	663
318	309	661
319	310	659
320	310	657
321	311	655
322	311	652
323	311	650
324	312	648
325	312	646
326	313	644
327	313	642
328	314	640
329	314	638
330	314	636
331	315	634
332	315	632
333	316	630
334	316	628
335	316	626
336	317	624
337	317	622
338	318	620
339	318	618
340	319	616
341	319	614
342	320	612
343	320	611
344	320	609
345	321	607
346	321	605
347	322	603
348	322	601
349	323	600
350	323	598
351	323	596
352	324	594
353	324	592
354	325	590
355	325	589
356	326	587
357	326	585
358	327	583
359	327	582
360	327	580
361	328	578
362	328	576
363	329	575
364	329	573
365	330	571
366	330	570
367	330	568
368	331	566
369	331	564
370	332	563
371	332	561
372	333	559
373	333	558
374	334	556
375	334	555
376	335	553
377	335	552
378	335	550
379	336	548
380	336	547
381	337	545
382	337	544
383	338	542
384	338	540
385	339	539
386	339	537
387	339	536
388	340	534
389	340	532
390	341	531
391	341	529
392	341	528
393	342	526
394	342	525
395	343	523
396	343	522
397	344	520
398	344	518
399	344	517
400	345	515
401	345	514
402	346	512
403	346	511
404	347	510
405	347	508
406	348	507
407	348	505
408	348	504
409	349	502
410	349	501
411	350	499
412	350	498
413	351	497
414	351	495
415	351	494
416	352	492
417	353	491
418	353	490
419	353	488
420	354	487
421	354	485
422	355	484
423	355	483
424	356	481
425	356	480
426	356	478
427	357	477
428	357	476
429	358	474
430	358	473
431	359	472
432	359	470
433	359	469
434	360	468
435	360	466
436	361	465
437	361	464
438	362	462
439	362	461
440	363	460
441	363	458
442	363	457
443	364	456
444	364	454
445	365	453
446	365	452
447	366	451
448	366	449
449	366	448
450	367	447
451	367	445
452	368	444
453	368	443
454	369	442
455	369	440
456	370	439
457	370	438
458	370	437
459	371	435
460	371	434
461	372	433
462	372	432
463	373	431
464	373	429
465	373	428
466	374	427
467	374	426
468	375	424
469	375	423
470	376	422
471	376	421
472	376	420
473	377	418
474	377	417
475	378	416
476	378	415
477	379	413
478	379	412
479	380	411
480	380	410
481	381	409
482	381	408
483	382	407
484	382	406
485	382	405
486	383	403
487	383	402
488	384	401
489	384	400
490	385	399
491	385	398
492	385	396
493	386	395
494	386	394
495	387	393
496	387	392
497	388	391
498	388	390
499	389	389
500	389	387
501	389	386
502	390	385
503	390	384
504	391	383
505	391	382
506	392	381
507	392	380
508	392	379
509	393	377
510	393	376
511	394	375
512	394	374
513	395	373
514	395	372
515	396	371
516	396	370
517	396	369
518	397	368
519	397	367
520	398	366
521	398	365
522	399	363
523	399	362
524	399	361
525	400	360
526	400	359
527	401	358
528	401	357
529	402	356
530	402	355
531	402	354
532	403	353
533	403	352
534	404	351
535	404	350
536	405	349
537	405	348
538	405	347
539	406	346
540	406	345
541	407	344
542	407	343
543	408	342
544	408	341
545	408	340
546	409	339
547	409	338
548	410	337
549	410	336
550	411	335
551	411	334
552	412	333
553	412	332
554	413	331
555	413	330
556	414	329
557	414	328
558	414	327
559	415	326
560	415	325
561	416	324
562	416	323
563	417	322
564	417	321
565	417	320
566	418	319
567	418	318
568	419	317
569	419	316
570	420	315
571	420	314
572	420	313
573	421	312
574	421	311
575	422	310
576	422	309
577	423	308
578	423	307
579	424	307
580	424	306
581	424	305
582	425	304
583	425	303
584	426	302
585	426	301
586	427	300
587	427	299
588	428	298
589	428	297
590	428	296
591	429	295
592	429	294
593	430	294
594	430	293
595	431	292
596	431	291
597	431	290
598	432	289
599	432	288
600	433	287
601	433	286
602	434	285
603	434	284
604	434	283
605	435	283
606	435	282
607	436	281
608	436	280
609	437	279
610	437	278
611	437	277
612	438	276
613	438	275
614	439	274
615	439	274
616	440	273
617	440	272
618	441	271
619	441	270
620	442	269
621	442	268
622	443	268
623	443	267
624	444	266
625	444	265
626	444	264
627	445	263
628	445	262
629	446	262
630	446	261
631	447	260
632	447	259
633	448	258
634	448	257
635	448	256
636	449	256
637	449	255
638	450	254
639	450	253
640	451	252
641	451	251
642	451	250
643	452	250
644	452	249
645	453	248
646	453	247
647	454	246
648	454	245
649	454	244
650	455	244
651	455	243
652	456	242
653	456	241
654	457	240
655	457	240
656	458	239
657	458	238
658	459	237
659	459	236
660	459	235
661	460	235
662	460	234
663	461	233
664	461	232
665	462	231
666	462	230
667	462	230
668	463	229
669	463	228
670	464	227
671	464	226
672	465	225
673	465	225
674	465	224
675	466	223
676	466	222
677	467	221
678	467	221
679	468	220
680	468	219
681	468	218
682	469	217
683	469	217
684	470	216
685	470	215
686	471	214
687	471	213
688	472	213
689	472	212
690	472	211
691	473	210
692	473	209
693	474	209
694	474	208
695	475	207
696	475	206
697	476	205
698	476	205
699	476	204
700	477	203
701	477	202
702	478	202
703	478	201
704	479	200
705	479	199
706	479	198
707	480	198
708	480	197
709	481	196
710	481	195
711	482	194
712	482	194
713	482	193
714	483	192
715	483	191
716	484	191
717	484	190
718	485	189
719	485	188
720	486	188
721	486	187
722	487	186
723	487	185
724	488	185
725	488	184
726	488	183
727	489	182
728	489	182
729	490	181
730	490	180
731	491	179
732	491	179
733	491	178
734	492	177
735	492	176
736	493	176
737	493	175
738	494	174
739	494	173
740	494	172
741	495	172
742	495	171
743	496	170
744	496	169
745	496	169
746	497	168
747	497	167
748	498	166
749	498	166
750	499	165
751	499	164
752	500	164
753	500	163
754	500	162
755	501	161
756	501	161
757	502	160
758	502	159
759	503	158
760	503	158
761	503	157
762	504	156
763	504	155
764	505	155
765	505	154
766	506	153
767	506	153
768	506	152
769	507	151
770	507	150
771	508	150
772	508	149
773	509	148
774	509	147
775	510	147
776	510	146
777	510	145
778	511	145
779	511	144
780	512	143
781	512	142
782	513	142
783	513	141
784	514	140
785	514	140
786	514	139
787	515	138
788	515	137
789	516	137
790	516	136
791	517	135
792	517	135
793	518	134
794	519	133
795	519	133
796	520	132
797	520	131
798	521	131
799	521	130
800	522	129
801	522	129
802	523	128
803	523	127
804	524	126
805	524	126
806	525	125
807	525	124
808	526	124
809	526	123
810	527	122
811	527	122
812	528	121
813	528	120
814	529	120
815	529	119
816	530	118
817	530	118
818	531	117
819	531	116
820	532	116
821	532	115
822	533	114
823	533	113
824	534	113
825	534	112
826	534	111
827	535	111
828	536	110
829	536	109
830	537	109
831	537	108
832	538	107
833	538	107
834	538	106
835	539	105
836	539	105
837	540	104
838	540	103
839	541	103
840	541	102
841	541	101
842	542	101
843	542	100
844	543	99
845	543	98
846	544	98
847	544	97
848	544	96
849	545	96
850	545	95
851	546	94
852	546	94
853	547	93
854	547	92
855	548	92
856	548	91
857	549	90
858	549	90
859	550	89
860	550	88
861	550	88
862	551	87
863	551	86
864	552	86
865	552	85
866	552	84
867	553	84
868	553	83
869	554	82
870	554	82
871	555	81
872	555	80
873	555	80
874	556	79
875	556	78
876	557	78
877	557	77
878	558	76
879	558	76
880	558	75
881	559	74
882	559	74
883	560	73
884	560	72
885	561	72
886	561	71
887	562	70
888	562	70
889	563	69
890	563	68
891	563	68
892	564	67
893	564	66
894	565	66
895	565	65
896	566	65
897	566	64
898	567	63
899	567	63
900	567	62
901	568	61
902	568	61
903	569	60
904	569	59
905	570	59
906	570	58
907	570	57
908	571	57
909	571	56
910	572	55
911	572	55
912	573	54
913	573	53
914	574	53
915	574	52
916	574	52
917	575	51
918	575	50
919	576	50
920	576	49
921	577	48
922	577	48
923	578	47
924	578	46
925	579	46
926	579	45
927	579	44
928	580	44
929	580	43
930	581	43
931	581	42
932	582	41
933	582	41
934	583	40
935	583	39
936	583	39
937	584	38
938	584	37
939	585	37
940	585	36
941	586	36
942	586	35
943	586	34
944	587	34
945	587	33
946	588	32
947	588	32
948	589	31
949	589	31
950	589	30
951	590	29
952	590	29
953	591	28
954	591	27
955	592	27
956	592	26
957	593	26
958	593	25
959	594	24
960	594	24
961	595	23
962	595	22
963	595	22
964	596	21
965	596	21
966	597	20
967	597	19
968	598	19
969	598	18
970	598	17
971	599	17
972	599	16
973	600	16
974	600	15
975	601	14
976	601	14
977	601	13
978	602	12
979	602	12
980	603	11
981	603	11
982	604	10
983	604	9
984	605	9
985	605	8
986	605	7
987	606	7
988	606	6
989	607	6
990	607	5
991	608	4
992	608	4
993	609	3
994	609	3
995	610	2
996	610	1
997	611	1
998	611	0
999	611	0
